0,1,2,3,4,5
134,Information Technology Management,Bachelors,"$59,300","$103,300",48%
136,Finance & Real Estate,Bachelors,"$58,600","$103,200",45%
137,Construction Engineering,Bachelors,"$64,500","$103,100",57%
138,Business Logistics & Transportation,Bachelors,"$54,900","$102,900",48%
138,Construction Management,Bachelors,"$59,700","$102,900",58%
140,Aeronautical Science,Bachelors,"$55,300","$102,800",57%
141,Computer Management Information Systems (CMIS),Bachelors,"$54,300","$102,600",46%
142,Software Applications & Programming,Bachelors,"$56,400","$102,500",37%
143,Financial Economics,Bachelors,"$60,600","$102,300",44%
144,Marketing & International Business,Bachelors,"$49,700","$102,200",35%
145,Informatics,Bachelors,"$66,200","$101,900",41%
145,Medicine,Bachelors,"$75,500","$101,900",84%
147,Civil & Environmental Engineering,Bachelors,"$61,800","$101,800",67%
148,Atmospheric Science,Bachelors,"$47,300","$101,600",55%
149,Environmental Engineering,Bachelors,"$59,500","$101,300",64%
150,European Studies,Bachelors,"$45,200","$101,200",47%
150,Nuclear Engineering Technology (NET),Bachelors,"$78,200","$101,200",60%
152,Industrial Management,Bachelors,"$55,100","$101,000",55%
152,Information Systems (IS),Bachelors,"$59,900","$101,000",45%
154,Sales & Business Marketing,Bachelors,"$52,600","$100,800",49%
155,Business Computer Information Systems (BCIS),Bachelors,"$60,200","$100,700",36%
155,Organic Chemistry,Bachelors,"$46,000","$100,700",-
157,Business Operations,Bachelors,"$60,500","$100,600",-
158,Business Computer Science,Bachelors,"$50,200","$100,500",-
159,Business Finance,Bachelors,"$54,600","$100,300",43%
159,Safety Science,Bachelors,"$58,800","$100,300",-
161,Plastics Engineering Technology,Bachelors,"$63,800","$100,200",31%
162,Business Information Systems,Bachelors,"$61,700","$100,100",44%
163,International Management,Bachelors,"$49,300","$99,900",52%
164,Finance,Bachelors,"$56,800","$99,800",41%
165,Agricultural Economics,Bachelors,"$53,000","$99,700",59%
166,Economics & Political Science,Bachelors,"$54,200","$99,400",50%
166,Interactive Media,Bachelors,"$50,200","$99,400",32%
168,Computer Science & Information Technology,Bachelors,"$63,100","$99,100",49%
169,Agricultural Engineering (AE),Bachelors,"$60,400","$99,000",61%
169,Consumer Economics,Bachelors,"$51,200","$99,000",38%
171,International Business,Bachelors,"$52,100","$98,900",40%
172,Chinese Language,Bachelors,"$51,200","$98,700",47%
172,Financial Planning,Bachelors,"$50,400","$98,700",57%
174,Corporate Finance,Bachelors,"$61,000","$98,500",43%
175,Architectural Engineering,Bachelors,"$62,400","$98,400",58%
176,Building Construction Management,Bachelors,"$58,600","$98,000",59%
177,Engineering Technology (ET),Bachelors,"$55,300","$97,900",50%
177,Network Engineering,Bachelors,"$57,900","$97,900",46%
179,Computer Information Systems (CIS),Bachelors,"$56,900","$97,800",45%
179,International Marketing,Bachelors,"$56,200","$97,800",18%
179,Psychobiology,Bachelors,"$45,400","$97,800",64%
182,Electrical Engineering Technology (EET),Bachelors,"$63,100","$97,700",48%
182,Computer Information Systems,Bachelors,"$55,700","$97,700",43%
182,Real Estate,Bachelors,"$56,400","$97,700",38%
182,Molecular Biology,Bachelors,"$50,500","$97,700",70%
186,Operations Management (OM),Bachelors,"$58,000","$97,300",43%
187,Cybersecurity,Bachelors,"$63,000","$97,200",55%
187,Manufacturing,Bachelors,"$54,100","$97,200",56%
189,Construction Trades,Bachelors,"$56,300","$97,100",57%
190,International Relations,Bachelors,"$49,900","$96,800",49%
190,Politics,Bachelors,"$50,600","$96,800",53%
192,Economics & Management,Bachelors,"$52,700","$96,600",-
193,Industrial Hygiene,Bachelors,"$55,800","$96,200",55%
194,Software Development,Bachelors,"$61,000","$96,000",44%
194,Telecommunications Management,Bachelors,"$49,800","$96,000",46%
196,Supply Chain Management,Bachelors,"$59,000","$95,900",41%
197,Mechanical Engineering Technology (MET),Bachelors,"$61,200","$95,800",48%
198,Accounting & Auditing,Bachelors,"$55,400","$95,700",42%
198,Network Security,Bachelors,"$57,500","$95,700",47%
200,Entrepreneurship & Leadership,Bachelors,"$52,300","$95,600",46%
200,Geological Engineering,Bachelors,"$59,100","$95,600",57%
202,Product Design,Bachelors,"$58,600","$95,500",40%
203,Electronics,Bachelors,"$57,000","$95,400",61%
203,Food Marketing,Bachelors,"$54,500","$95,400",25%
203,Safety Management,Bachelors,"$57,400","$95,400",70%
206,German Studies,Bachelors,"$47,400","$95,300",43%
206,Industrial & Labor Relations,Bachelors,"$63,800","$95,300",51%
208,Agricultural Economics & Business,Bachelors,"$51,400","$95,200",55%
208,Aviation Management,Bachelors,"$48,400","$95,200",53%
210,Biochemistry (BCH),Bachelors,"$47,500","$95,100",60%
211,Computer Science (CS) & Business,Bachelors,"$60,800","$95,000",40%
211,Construction Science & Management,Bachelors,"$61,500","$95,000",68%
213,Accounting & Finance,Bachelors,"$55,800","$94,900",45%
213,Comparative Literature,Bachelors,"$44,600","$94,900",45%
213,International & Comparative Politics,Bachelors,"$46,100","$94,900",49%
216,East Asian Studies,Bachelors,"$46,900","$94,800",43%
217,Logistics & Supply Chain Management,Bachelors,"$56,200","$94,400",46%
217,Russian & Eastern European Studies,Bachelors,"$50,800","$94,400",-
219,Occupational Health and Safety,Bachelors,"$57,100","$94,300",68%
220,Aviation,Bachelors,"$50,000","$94,000",42%
220,Manufacturing Technology,Bachelors,"$57,100","$94,000",45%
222,Physical Therapy,Bachelors,"$53,500","$93,900",90%
222,Labor Relations,Bachelors,"$48,900","$93,900",39%
224,Government & International Politics (GVIP),Bachelors,"$49,800","$93,800",46%
224,Information Technology (IT),Bachelors,"$56,100","$93,800",45%
226,City & Regional Planning,Bachelors,"$49,700","$93,700",70%
226,Information Science (IS),Bachelors,"$62,600","$93,700",38%
228,Business & Marketing,Bachelors,"$47,800","$93,600",44%
229,Agribusiness,Bachelors,"$48,000","$93,400",53%
229,Management Studies,Bachelors,"$43,500","$93,400",73%
231,Industrial Design (ID),Bachelors,"$52,100","$93,100",41%
232,Chemistry,Bachelors,"$49,200","$93,000",55%
232,Information Technology (IT) & Systems,Bachelors,"$58,600","$93,000",47%
232,Environmental Health & Safety,Bachelors,"$54,500","$93,000",67%
235,Electronics Engineering Technology (EET),Bachelors,"$61,600","$92,900",53%
235,Organizational Behavior,Bachelors,"$54,000","$92,900",49%
237,Analytical Chemistry,Bachelors,"$54,800","$92,800",69%
237,Computer Engineering Technology (CET),Bachelors,"$60,100","$92,800",48%
237,Food Science & Technology,Bachelors,"$50,200","$92,800",49%
240,Project Management,Bachelors,"$54,100","$92,700",54%
241,Technical & Scientific Communication,Bachelors,"$48,900","$92,400",40%
242,Finance & Banking,Bachelors,"$52,600","$92,300",51%
243,Hotel Administration,Bachelors,"$61,500","$92,100",43%
243,Mechanical Design,Bachelors,"$57,700","$92,100",49%
245,Biomedical Sciences,Bachelors,"$41,200","$92,000",70%
246,International Trade & Business,Bachelors,"$52,300","$91,900",28%
247,Commerce Economics,Bachelors,"$51,200","$91,800",31%
248,Latin American Studies,Bachelors,"$44,300","$91,700",63%
248,Structural Design & Construction Engineering Technology,Bachelors,"$66,500","$91,700",46%
248,Civil Engineering Technology (CET),Bachelors,"$55,600","$91,700",62%
251,Government & Politics,Bachelors,"$50,000","$91,500",49%
252,Aviation Flight Science (AFL),Bachelors,"$49,900","$91,400",45%
252,Business & Finance,Bachelors,"$52,800","$91,400",49%
252,Marketing,Bachelors,"$49,200","$91,400",39%
255,Applied Statistics,Bachelors,"$62,000","$91,300",46%
255,Biopsychology,Bachelors,"$50,200","$91,300",73%
255,Industrial Technology (IT),Bachelors,"$57,800","$91,300",51%
255,Manufacturing Engineering Technology,Bachelors,"$61,500","$91,300",52%
259,Music Production & Engineering,Bachelors,"$42,100","$91,100",50%
259,Networks & Telecommunications,Bachelors,"$52,900","$91,100",57%
261,Chemistry & Environmental Science,Bachelors,"$46,000","$91,000",67%
261,Microbiology & Immunology,Bachelors,"$51,500","$91,000",68%
263,Accounts,Bachelors,"$57,000","$90,900",42%
263,Risk Management,Bachelors,"$59,600","$90,900",33%
265,Environmental Science & Policy,Bachelors,"$47,300","$90,700",60%
266,Dairy Science,Bachelors,"$49,500","$90,600",72%
266,Sales & Marketing,Bachelors,"$48,500","$90,600",44%
268,Welding Engineering Technology,Bachelors,"$72,000","$90,400",45%
269,Industrial Psychology,Bachelors,"$47,000","$90,200",49%
269,Marketing & Management,Bachelors,"$47,200","$90,200",44%
269,Transportation & Logistics Management,Bachelors,"$52,700","$90,200",47%
272,Marketing Management,Bachelors,"$48,300","$90,100",43%
272,Watershed Hydrology & Management,Bachelors,"$45,500","$90,100",49%
274,Electromechanical Engineering,Bachelors,"$67,100","$90,000",54%
274,Transportation,Bachelors,"$59,100","$90,000",50%
276,Advertising Design,Bachelors,"$49,300","$89,700",29%
276,Management & Finance,Bachelors,"$52,500","$89,700",53%
276,Risk Management & Insurance,Bachelors,"$56,300","$89,700",44%
279,Geology,Bachelors,"$48,200","$89,600",55%
280,Information Assurance,Bachelors,"$55,600","$89,500",58%
280,Political Science,Bachelors,"$47,900","$89,500",48%
282,Philosophy,Bachelors,"$48,700","$89,400",41%
282,Radiation Therapy,Bachelors,"$65,600","$89,400",91%
284,Cell Biology,Bachelors,"$48,200","$89,300",61%
284,French Literature,Bachelors,"$44,200","$89,300",50%
284,Web Design & Development,Bachelors,"$50,600","$89,300",46%
284,Meteorology,Bachelors,"$44,500","$89,300",60%
288,Biological Sciences,Bachelors,"$46,200","$89,200",65%
288,Occupational Therapy (OT),Bachelors,"$55,100","$89,200",90%
290,Environmental Policy Analysis & Planning,Bachelors,"$47,200","$89,100",62%
291,Entrepreneurial Studies,Bachelors,"$46,700","$88,900",35%
291,Financial Accounting,Bachelors,"$53,400","$88,900",51%
291,Political Science/Public Law,Bachelors,"$43,900","$88,900",61%
291,Quality Management,Bachelors,"$53,400","$88,900",64%
295,Aeronautics,Bachelors,"$59,100","$88,800",65%
295,Applied Computer Science,Bachelors,"$62,900","$88,800",48%
297,Accounting,Bachelors,"$51,700","$88,700",42%
297,Broadcasting Technology,Bachelors,"$40,000","$88,700",-
297,Food Science,Bachelors,"$49,900","$88,700",46%
297,Marketing & Communications,Bachelors,"$46,600","$88,700",43%
301,Urban Planning,Bachelors,"$48,100","$88,500",54%
301,Manufacturing Management,Bachelors,"$60,400","$88,500",49%
303,Insurance,Bachelors,"$53,000","$88,400",42%
304,Business Data Analysis,Bachelors,"$60,400","$88,300",38%
304,Environmental Design,Bachelors,"$45,400","$88,300",55%
306,Advertising,Bachelors,"$44,800","$88,200",33%
306,Cinema Studies,Bachelors,"$45,400","$88,200",32%
306,Financial Management,Bachelors,"$51,000","$88,200",51%
309,Advertising & Marketing Communications,Bachelors,"$46,000","$88,100",36%
309,Operations & Supply Chain Management,Bachelors,"$57,800","$88,100",44%
311,Computer Information Management,Bachelors,"$46,800","$88,000",62%
312,Global & International Studies,Bachelors,"$45,900","$87,800",49%
312,Computing & Information Systems (CIS),Bachelors,"$50,800","$87,800",42%
312,Architecture,Bachelors,"$48,300","$87,800",55%
315,Environmental & Natural Resource Economics,Bachelors,"$49,100","$87,600",60%
316,Labor Studies,Bachelors,"$44,100","$87,500",49%
317,Aviation Technology,Bachelors,"$52,600","$87,400",52%
317,Social Ecology,Bachelors,"$46,700","$87,400",60%
319,Classics,Bachelors,"$45,000","$87,300",39%
319,Marketing Communication,Bachelors,"$43,600","$87,300",40%
321,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,"$51,700","$87,200",56%
321,Organizational Psychology,Bachelors,"$48,300","$87,200",45%
323,European History,Bachelors,"$49,700","$87,100",50%
324,Urban & Regional Planning,Bachelors,"$47,500","$87,000",59%
325,Real Estate Development,Bachelors,"$54,400","$86,800",-
326,Applied Technology,Bachelors,"$52,900","$86,700",60%
326,Entomology,Bachelors,"$44,000","$86,700",-
328,Architectural Engineering Technology,Bachelors,"$49,900","$86,600",59%
328,Public Affairs,Bachelors,"$49,700","$86,600",53%
330,Entrepreneurship,Bachelors,"$51,400","$86,500",45%
331,Business Management & Marketing,Bachelors,"$45,800","$86,400",47%
332,Digital Arts,Bachelors,"$43,200","$86,300",32%
333,Industrial Safety,Bachelors,"$53,200","$86,200",78%
333,Logistics,Bachelors,"$54,800","$86,200",37%
335,Hotel Management,Bachelors,"$44,500","$86,100",44%
336,Cell & Molecular Biology,Bachelors,"$48,900","$86,000",66%
336,Global Business Management,Bachelors,"$53,200","$86,000",51%
338,Technical Management,Bachelors,"$57,800","$85,900",65%
338,Computer & Network Administration,Bachelors,"$54,100","$85,900",47%
340,Police Science,Bachelors,"$53,400","$85,800",-
340,Pre-law,Bachelors,"$44,700","$85,800",46%
342,Business Communication,Bachelors,"$47,600","$85,600",47%
342,Microbiology,Bachelors,"$46,200","$85,600",68%
342,Professional Aeronautics,Bachelors,"$57,700","$85,600",68%
345,Advertising & Promotion,Bachelors,"$42,400","$85,500",45%
346,Network Systems Administration,Bachelors,"$53,500","$85,400",50%
347,Construction Technology,Bachelors,"$55,500","$85,300",47%
348,Electronic & Computer Technology,Bachelors,"$61,300","$85,000",-
348,Marketing & Advertising,Bachelors,"$47,200","$85,000",53%
350,Electronic Systems Technology (EST),Bachelors,"$61,800","$84,900",-
351,International Studies,Bachelors,"$47,500","$84,800",51%
352,Construction Engineering Technology,Bachelors,"$53,000","$84,700",57%
353,Applied Science,Bachelors,"$44,100","$84,600",56%
354,Accounting Information Systems,Bachelors,"$60,000","$84,500",51%
354,Environmental Health,Bachelors,"$48,100","$84,500",72%
354,Technology,Bachelors,"$53,400","$84,500",64%
357,Biosystems Engineering,Bachelors,"$62,000","$84,200",75%
358,Fashion Design,Bachelors,"$44,800","$84,100",26%
359,Agribusiness Management,Bachelors,"$47,600","$84,000",46%
359,German Language,Bachelors,"$48,200","$84,000",41%
361,Professional Pilot Education,Bachelors,"$59,800","$83,900",-
361,Textile Technology,Bachelors,"$51,500","$83,900",31%
363,Manufacturing Systems,Bachelors,"$71,700","$83,600",-
364,Diagnostic Medical Ultrasound,Bachelors,"$60,800","$83,500",70%
364,Marketing & Mass Communications,Bachelors,"$41,800","$83,500",40%
366,General Business,Bachelors,"$47,600","$83,400",52%
366,Computer Graphics Technology (CGT),Bachelors,"$46,800","$83,400",40%
368,Agricultural Systems Technology,Bachelors,"$54,000","$83,300",58%
368,Health Care,Bachelors,"$41,700","$83,300",71%
368,Hospital Administration,Bachelors,"$49,600","$83,300",53%
368,Personal Financial Planning,Bachelors,"$51,200","$83,300",59%
372,Business Technology Management,Bachelors,"$52,900","$83,200",48%
373,Health Policy & Administration,Bachelors,"$48,300","$83,100",65%
374,Math & Science,Bachelors,"$54,400","$82,900",62%
375,Architectural Design,Bachelors,"$46,000","$82,800",59%
375,Environmental Science,Bachelors,"$46,500","$82,800",60%
377,Advertising & Marketing,Bachelors,"$46,300","$82,700",38%
377,Animation,Bachelors,"$43,100","$82,700",36%
379,General Science,Bachelors,"$46,900","$82,600",62%
380,Biology & Chemistry,Bachelors,"$46,700","$82,500",66%
381,American Studies,Bachelors,"$49,000","$82,400",50%
381,Product Design Engineering,Bachelors,"$61,500","$82,400",39%
383,Aviation Maintenance Technology,Bachelors,"$49,800","$82,300",58%
383,Film Studies,Bachelors,"$42,500","$82,300",40%
383,Magazine Journalism,Bachelors,"$44,500","$82,300",26%
386,Web & Digital Media Development,Bachelors,"$48,400","$82,200",34%
387,Digital Media Design,Bachelors,"$45,200","$82,000",36%
387,English Literature,Bachelors,"$45,400","$82,000",45%
387,History & Politics,Bachelors,"$47,200","$82,000",49%
387,Human Biology,Bachelors,"$48,400","$82,000",68%
391,Business Management & Human Resources Management (HRM),Bachelors,"$44,700","$81,900",58%
391,Architectural Technology,Bachelors,"$44,700","$81,900",56%
391,Design,Bachelors,"$49,400","$81,900",41%
391,Philosophy & Religion,Bachelors,"$41,800","$81,900",55%
391,Physiology,Bachelors,"$46,900","$81,900",62%
396,Business Administration,Bachelors,"$49,700","$81,700",50%
396,French Studies,Bachelors,"$49,500","$81,700",53%
396,Land Surveying,Bachelors,"$48,700","$81,700",56%
399,Management,Bachelors,"$49,000","$81,600",48%
400,Geographic Information Systems (GIS),Bachelors,"$47,100","$81,500",53%
400,Interactive Media Design,Bachelors,"$51,800","$81,500",40%
402,Architectural Studies,Bachelors,"$43,100","$81,400",42%
403,Business Administration & Accounting,Bachelors,"$50,300","$81,300",53%
403,Industrial Arts,Bachelors,"$46,500","$81,300",65%
405,Textile Design,Bachelors,"$47,400","$81,200",40%
406,Textile & Apparel Studies,Bachelors,"$43,800","$81,100",28%
407,Accounting & Management,Bachelors,"$49,700","$81,000",53%
408,Nursing Science,Bachelors,"$63,700","$80,900",84%
409,Business Management,Bachelors,"$48,800","$80,800",50%
409,Linguistics,Bachelors,"$49,300","$80,800",45%
411,Agronomy,Bachelors,"$49,100","$80,700",64%
411,Corporate Communications,Bachelors,"$45,300","$80,700",41%
411,Neuroscience,Bachelors,"$47,800","$80,700",59%
414,Communication Studies & Journalism,Bachelors,"$42,500","$80,600",49%
415,Sociology & Organizational Studies,Bachelors,"$48,200","$80,500",54%
416,Nursing,Bachelors,"$61,700","$80,400",84%
417,Toxicology,Bachelors,"$43,800","$80,300",-
417,History,Bachelors,"$45,300","$80,300",46%
417,Agricultural Science,Bachelors,"$46,900","$80,300",57%
420,Biology,Bachelors,"$44,500","$80,200",65%
420,Crop Science,Bachelors,"$45,200","$80,200",67%
420,French Language,Bachelors,"$46,600","$80,200",48%
423,Environmental Studies,Bachelors,"$45,900","$80,100",59%
423,Management (MGT),Bachelors,"$44,800","$80,100",57%
425,Communication,Bachelors,"$45,300","$79,900",45%
426,General & Strategic Management,Bachelors,"$48,900","$79,800",53%
426,Merchandising Management,Bachelors,"$44,200","$79,800",35%
428,Dental Hygiene,Bachelors,"$70,400","$79,600",79%
428,Hydrology,Bachelors,"$45,300","$79,600",-
430,Global Business,Bachelors,"$53,200","$79,500",37%
430,Retail & Consumer Science,Bachelors,"$48,500","$79,500",34%
430,Literature,Bachelors,"$44,400","$79,500",44%
433,Emergency Management,Bachelors,"$49,600","$79,400",78%
433,Interpersonal & Organizational Communication,Bachelors,"$40,300","$79,400",56%
433,Nuclear Medicine,Bachelors,"$57,800","$79,400",84%
436,History & Political Science,Bachelors,"$48,400","$79,300",51%
437,Retail Merchandising,Bachelors,"$48,000","$79,200",33%
438,Agriculture,Bachelors,"$45,300","$79,100",61%
438,Environmental Management,Bachelors,"$47,300","$79,100",61%
438,Professional & Technical Writing,Bachelors,"$46,000","$79,100",46%
441,International Development Studies,Bachelors,"$45,500","$79,000",64%
441,Workforce Education & Development,Bachelors,"$57,100","$79,000",74%
441,Journalism & Mass Communication,Bachelors,"$43,700","$79,000",45%
444,Pre-Medicine,Bachelors,"$48,400","$78,900",65%
445,Bachelor in Science Nursing,Bachelors,"$61,000","$78,800",81%
445,Network Technology,Bachelors,"$54,900","$78,800",57%
447,Theatre & Drama Studies,Bachelors,"$41,500","$78,600",49%
448,Law,Bachelors,"$51,900","$78,500",51%
449,Law Enforcement,Bachelors,"$43,800","$78,400",57%
449,Printing Technology,Bachelors,"$43,800","$78,400",-
449,Public Relations & Communication,Bachelors,"$43,600","$78,400",46%
452,Foreign Languages,Bachelors,"$47,800","$78,300",57%
452,Interior Architecture,Bachelors,"$45,100","$78,300",47%
